Address,District,Price,Living Area,Side Area,Rooms,Monthly Fee,Floor,Year of Building,Elevator,Balcony,Patio,Fireplace,Date of Sale,Days for Sale,Latitude,Longitude
Tellusgången 34,Telefonplan,4770000,73.0,0.0,3.0,5026,5.0,2015.0,1,1,0,0,2024-05-22,13,59.29869910000001,17.9890623
Tångvägen 31,Hökmossen,2600000,57.0,0.0,2.0,4297,,1944.0,0,0,0,0,2024-02-24,15,59.2921102,17.9946884
Cedergrensvägen 43,LM-Staden,3745000,51.0,0.0,3.0,4285,1.0,1940.0,0,0,0,0,2024-04-30,9,59.3007965,17.9985426
Responsgatan 12,Telefonplan,2760000,46.0,0.0,2.0,3135,3.0,2019.0,1,1,0,0,2024-03-18,16,59.29645899999999,18.0027115
Mikrofonvägen 21,Telefonplan,4400000,61.0,0.0,2.0,3676,4.0,2010.0,1,1,0,0,2024-08-18,10,59.2969106,17.9997931
Radiusbacken 39,Midsommarkransen,2725000,38.0,0.0,2.0,2913,4.0,2018.0,1,1,0,0,2024-09-07,254,59.2981749,18.0049208
Responsgatan 18,Telefonplan,2450000,32.0,0.0,1.0,2181,3.0,2019.0,1,1,0,0,2024-05-28,15,59.29709949999999,18.0038945
Tegelbruksvägen 20,Gamla Midsommarkransen,4625000,54.0,0.0,2.0,4444,3.0,1912.0,0,0,0,1,2024-06-01,15,59.3032536,18.0114555
Hökmossevägen 34,Hökmossen,2595000,40.0,0.0,2.0,3390,2.0,1940.0,0,0,0,0,2024-07-22,50,59.2912734,17.9928296
Tellusborgsvägen 100,Telefonplan,6000000,80.0,0.0,2.0,5426,5.0,1917.0,1,1,0,0,2024-03-01,103,59.2971881,18.0009157
Kransbindarvägen 51,LM-Staden,2765000,35.0,0.0,2.0,3206,1.0,1938.0,0,0,0,0,2024-04-30,10,59.30160890000001,17.9961161
Cedergrensvägen 30,LM-Staden,3025000,35.0,0.0,2.0,3206,2.0,1940.0,0,0,0,0,2024-07-16,4,59.3017827,17.999719
Mellanbergsvägen 15,Hökmossen,2430000,44.0,0.0,2.0,3466,3.0,1943.0,0,0,0,0,2024-06-06,13,59.2909017,17.9885919
Cedergrensvägen 4,Midsommarkransen,2760000,33.0,0.0,2.0,2575,3.0,2020.0,1,0,0,0,2024-04-25,16,59.3033533,18.0027914
Tellusborgsvägen 90,Midsommarkransen,2700000,35.0,0.0,1.5,2586,4.0,2012.0,1,1,0,0,2024-03-13,11,59.29883299999999,18.0020192
Midsommargränd 10,Midsommarkransen,6000000,71.0,0.0,3.0,4077,3.0,2009.0,1,1,0,0,2024-03-01,1,59.29912589999999,18.0037549
Tellusborgsvägen 96,Telefonplan,5800000,62.0,9.0,2.0,4606,4.0,1917.0,1,1,0,0,2024-02-22,0,59.2974889,18.0012266
Adventsvägen 1,Midsommarkransen,6800000,114.0,0.0,4.0,5767,1.0,2017.0,1,0,0,0,2024-09-04,15,59.301007,18.0072758
Vattenledningsvägen 87,Midsommarkransen,3110000,43.0,0.0,2.0,3139,1.0,1946.0,0,1,0,0,2024-09-11,11,59.3001495,18.0064272
Flygelgatan 4,Telefonplan,3100000,39.0,0.0,2.0,2633,2.0,2012.0,1,1,0,0,2024-04-04,6,59.29830860000001,18.0015267
Valborgsmässovägen 19,LM-Staden,3750000,51.0,0.0,2.0,3428,1.0,1938.0,0,0,0,0,2024-03-25,52,59.2996375,17.9992801
Tellusborgsvägen 92,Telefonplan,2670000,37.0,0.0,1.5,2730,3.0,2012.0,1,1,0,0,2024-03-28,25,59.2986728,18.0014302
Svandammsvägen 41,Midsommarkransen,6400000,71.5,0.0,3.0,5754,1.5,1934.0,1,1,0,0,2024-04-12,243,59.3010562,18.0068899
Valborgsmässovägen 32,LM-Staden,2550000,34.5,0.0,1.0,3293,3.0,1938.0,0,0,0,0,2024-04-08,8,59.2998023,17.998977
Pingstvägen 34,LM-Staden,1950000,22.0,0.0,1.0,2373,2.0,1940.0,0,0,0,0,2024-02-23,176,59.3017246,17.9971426
Nyårsvägen 18,Midsommarkransen,5995000,78.0,0.0,3.0,4908,3.0,1947.0,0,1,0,0,2024-02-02,10,59.3029738,17.9940321
Vattenledningsvägen 48B,Gamla Midsommarkransen,5525000,62.0,0.0,2.0,3774,3.0,1910.0,0,0,0,1,2024-04-05,34,59.30179940000001,18.0070187
Pingstvägen 39,LM-Staden,3275000,51.0,0.0,2.0,4232,1.0,1940.0,0,0,0,0,2024-05-10,82,59.30117959999999,17.9954143
Johannesbergsgatan 3,Midsommarkransen,2820000,38.0,0.0,2.0,3515,1.0,1938.0,0,0,0,0,2024-06-30,0,59.3003457,18.0117048
Oktavgatan 4,Telefonplan,5250000,75.5,0.0,3.0,4364,,,0,0,0,0,2024-03-31,24,59.297138,17.9997451
Adventsvägen 3,Midsommarkransen,3195000,52.0,0.0,2.0,4355,1.0,2017.0,0,1,0,0,2024-02-28,102,59.3008901,18.0071909
Lm Ericssons väg 10J,Telefonplan,7555000,91.0,0.0,4.0,4586,2.0,2022.0,1,1,0,0,2024-08-22,15,59.2991991,17.9956853
Oktavgatan 6,Telefonplan,4350000,61.0,0.0,2.0,3676,2.0,2010.0,1,1,0,0,2024-05-31,5,59.29713820000001,17.9998133
Tellusborgsvägen 90,Midsommarkransen,2900000,35.0,0.0,1.5,2586,3.0,2012.0,1,1,0,0,2024-08-22,12,59.29883299999999,18.0020192
Kransbindarvägen 21,LM-Staden,3680000,51.0,0.0,2.0,4232,3.0,1940.0,0,0,0,0,2024-02-29,11,59.3025017,18.0004954
Vattenledningsvägen 71,Midsommarkransen,3200000,37.5,0.0,2.0,1848,,1938.0,1,0,0,0,2024-06-27,0,59.30087169999999,18.006189
Bäckvägen 82,Midsommarkransen,2925000,47.0,0.0,2.0,3411,3.0,1942.0,0,1,0,0,2024-05-24,35,59.3022906,17.9932585
Bäckvägen 65,Midsommarkransen,3200000,46.0,0.0,2.0,3746,,1945.0,0,0,0,0,2024-02-09,5,59.30246169999999,17.9962387
Responsgatan 14,Telefonplan,2902000,53.0,0.0,2.0,3612,1.0,2019.0,1,0,0,0,2024-05-23,214,59.29665749999999,18.0030007
Nioörtsvägen 40,Midsommarkransen,2595000,48.5,0.0,2.0,3409,,1984.0,0,0,0,0,2024-05-24,427,59.30056810000001,18.0136925
Midsommarvägen 14,Midsommarkransen,2470000,40.0,0.0,1.5,2791,,1939.0,0,0,1,0,2024-03-20,12,59.3009022,18.0124703
Hökmossevägen 68,Hökmossen,2600000,62.0,0.0,2.5,4884,,,0,0,0,0,2024-03-13,110,59.29032709999999,17.9883463
Tellusborgsvägen 96,Telefonplan,5000000,66.0,0.0,2.0,4547,3.0,1917.0,1,0,0,0,2024-04-17,398,59.2974889,18.0012266
Tellusgången 34,Telefonplan,5200000,73.0,0.0,3.0,5026,4.0,2015.0,1,1,0,0,2024-08-14,18,59.29869910000001,17.9890623
Övre Bergsvägen 12,Gamla Midsommarkransen,3130000,41.0,0.0,2.0,3574,1.0,1912.0,0,0,0,0,2024-07-16,41,59.30176329999999,18.0109975
Tellusborgsvägen 94,Telefonplan,3050000,39.0,0.0,2.0,2665,4.0,2015.0,0,0,0,0,2024-01-11,121,59.29843750000001,18.0022255
Tvingvägen 30,Hökmossen,2465000,36.0,0.0,2.0,2389,1.0,1942.0,0,0,0,0,2024-08-14,6,59.29355709999999,17.9982691
Flygelgatan 4,Telefonplan,3500000,44.0,0.0,2.5,3028,,2012.0,1,1,0,0,2024-04-07,1,59.29830860000001,18.0015267
Vattenledningsvägen 73,Midsommarkransen,3650000,42.0,0.0,2.0,2317,2.0,1943.0,1,0,0,0,2024-05-21,0,59.3007185,18.0059464
Responsgatan 36,Telefonplan,2137500,27.0,0.0,2.0,2216,3.0,2023.0,1,1,0,0,2024-05-07,71,59.2974559,18.0031599
Tellusborgsvägen 90,Midsommarkransen,3050000,48.0,0.0,1.5,3592,1.0,2012.0,1,0,0,0,2024-04-09,11,59.29883299999999,18.0020192
Midsommarvägen 31,Midsommarkransen,7425000,103.0,0.0,5.0,5974,2.0,1946.0,0,1,0,0,2024-03-08,13,59.2995542,18.0069791
Nioörtsvägen 40,Midsommarkransen,3910000,64.5,0.0,3.0,4041,3.0,1983.0,1,1,0,0,2024-03-01,154,59.30056810000001,18.0136925
Midsommarparken 5B,Midsommarkransen,2900000,35.0,0.0,2.0,2442,1.0,1939.0,0,0,0,0,2024-01-21,16,59.3010153,18.0127852
Responsgatan 18,Telefonplan,2425000,32.0,0.0,1.0,2181,4.0,2019.0,1,1,0,0,2024-07-10,11,59.29709949999999,18.0038945
Tellusborgsvägen 92,Telefonplan,3450000,52.0,0.0,2.0,3736,2.0,2012.0,1,0,0,0,2024-05-16,88,59.2986728,18.0014302
Tångvägen 30,Hökmossen,2580000,45.0,0.0,2.0,3137,1.0,1944.0,0,1,0,0,2024-08-09,3,59.29282139999999,17.9953434
Midsommargränd 4,Midsommarkransen,3625000,45.0,0.0,2.0,2621,2.0,2009.0,1,1,0,0,2024-07-10,9,59.2992547,18.0047179
Responsgatan 36,Telefonplan,2673000,32.0,0.0,2.0,2596,10.0,2023.0,1,1,0,0,2024-03-25,0,59.2974559,18.0031599
Valborgsmässovägen 32,LM-Staden,2550000,34.5,0.0,1.0,3293,2.0,1940.0,0,0,0,0,2024-07-04,0,59.2998023,17.998977
Oktobergatan 12,LM-Staden,3125000,41.0,0.0,2.0,2752,2.0,1939.0,0,1,0,0,2024-02-05,30,59.30233029999999,18.004811
Lötmogatan 7,Midsommarkransen,2615000,31.0,0.0,1.5,3576,3.0,1940.0,1,1,0,0,2024-06-19,65,59.30375769999999,18.0126671
Mellanbergsvägen 15,Hökmossen,2620000,44.0,0.0,2.0,3466,2.0,1943.0,0,0,0,0,2024-02-12,17,59.2909017,17.9885919
Lm Ericssons väg 4,Telefonplan,6020000,73.5,0.0,3.0,5874,3.0,2009.0,1,1,0,0,2024-04-22,18,59.30081149999999,17.994812
Midsommarvägen 52,Midsommarkransen,3500000,48.0,0.0,2.0,4241,1.0,1944.0,0,0,0,0,2024-02-01,0,59.3004352,18.0074391
Valborgsmässovägen 10,LM-Staden,2775000,34.5,0.0,2.0,3293,1.0,1940.0,0,0,0,0,2024-04-22,8,59.30072909999999,18.0010871
Snickerigatan 14,Telefonplan,5295000,83.0,0.0,3.0,5071,4.0,2013.0,1,1,0,0,2024-03-20,69,59.299234,17.9884047
Bäckvägen 80,Midsommarkransen,2750000,47.0,0.0,2.0,3411,1.0,1942.0,0,0,0,0,2024-07-16,69,59.3023176,17.993517
Lm Ericssons väg 2,Telefonplan,5600000,80.0,0.0,3.0,6214,2.0,2009.0,1,1,0,0,2024-05-27,30,59.30088299999999,17.9941986
Svandammsvägen 39,Midsommarkransen,3350000,52.0,0.0,2.0,4355,1.0,2017.0,1,0,0,0,2024-08-28,12,59.3010834,18.0074337
Tegelbruksvägen 14,Midsommarkransen,3225000,42.0,0.0,2.0,4145,2.0,1936.0,0,0,0,0,2024-08-29,10,59.30318010000001,18.0135542
Responsgatan 12,Telefonplan,2850000,46.0,0.0,2.0,3135,4.0,2019.0,1,1,0,0,2024-08-01,0,59.29645899999999,18.0027115
Pingstvägen 6,LM-Staden,7050000,92.0,0.0,4.0,7909,3.0,1943.0,0,0,0,0,2024-05-14,21,59.30152649999999,18.0021623
Midsommarvägen 49,Midsommarkransen,6000000,70.0,0.0,3.0,3858,2.0,2009.0,1,1,0,0,2024-01-26,9,59.2995459,18.0047702
Fastlagsvägen 54,Midsommarkransen,2950000,45.0,0.0,2.0,2779,1.0,1992.0,1,1,0,0,2024-03-04,10,59.3030206,17.9925257
Mobilgatan 11,Telefonplan,5000000,81.0,0.0,3.0,5590,2.0,2013.0,1,1,0,0,2024-03-07,62,59.2990109,17.9881488
Radiusbacken 39,Midsommarkransen,2700000,39.0,0.0,2.0,2990,3.0,,1,1,0,0,2024-07-13,64,59.2981749,18.0049208
Huvudfabriksgatan 6,Telefonplan,3295000,49.0,0.0,2.0,4376,3.0,2009.0,1,1,0,0,2024-01-23,102,59.30050180000001,17.9936123
Lötmogatan 3,Midsommarkransen,5900000,72.0,0.0,3.0,3889,3.0,1936.0,0,1,0,0,2024-04-09,0,59.30347310000001,18.0122977
Responsgatan 12,Telefonplan,2750000,46.0,0.0,2.0,3135,,2019.0,1,0,0,0,2024-03-14,3,59.29645899999999,18.0027115
Cedergrensvägen 22,LM-Staden,2500000,35.0,0.0,1.0,3206,1.0,1940.0,0,0,0,0,2024-08-17,352,59.3022934,18.0008798
Cedergrensvägen 46,LM-Staden,2700000,35.0,0.0,2.0,3206,2.0,1939.0,0,0,0,0,2024-06-26,26,59.3006717,17.9972199
Tellusborgsvägen 98,Telefonplan,3550000,44.0,7.5,2.0,3252,2.0,1917.0,1,1,0,0,2024-08-23,11,59.29735109999999,18.0010957
Pingstvägen 44,LM-Staden,2595000,35.0,0.0,1.0,3206,3.0,1940.0,0,0,0,0,2024-07-10,37,59.3013316,17.9969935
Responsgatan 14,Telefonplan,3050000,53.0,0.0,2.0,3612,5.0,2019.0,1,1,0,0,2024-03-28,20,59.29665749999999,18.0030007
Responsgatan 14,Telefonplan,4295000,46.0,46.0,2.0,5586,,2020.0,0,0,0,0,2024-02-13,142,59.29665749999999,18.0030007
Responsgatan 36,Telefonplan,2079000,27.0,0.0,2.0,2216,2.0,2023.0,1,1,0,0,2024-02-26,21,59.2974559,18.0031599
Responsgatan 36,Telefonplan,2460000,32.0,0.0,2.0,2614,3.0,2023.0,1,1,0,0,2024-04-14,20,59.2974559,18.0031599
Tellusborgsvägen 90,Midsommarkransen,2750000,35.0,0.0,1.5,2586,1.0,2012.0,0,0,0,0,2024-02-19,39,59.29883299999999,18.0020192
Tegelbruksvägen 8C,Midsommarkransen,3050000,32.0,0.0,2.0,1728,2.0,1936.0,0,0,0,0,2024-04-27,15,59.30281830000001,18.0148654
Lm Ericssons väg 10B,Telefonplan,4000000,49.0,0.0,2.0,2470,3.0,2022.0,1,1,0,0,2024-09-05,13,59.29998680000001,17.9952989
Responsgatan 14,Telefonplan,2750000,46.0,0.0,2.0,3135,3.0,2019.0,1,1,0,0,2024-04-08,72,59.29665749999999,18.0030007
Telefonvägen 21,Midsommarkransen,5215000,71.0,0.0,3.0,4748,1.0,1993.0,1,0,1,0,2024-08-21,58,59.2997977,18.0010406
Pingstvägen 34,LM-Staden,1895000,22.0,0.0,1.0,2373,3.0,1939.0,0,1,0,0,2024-02-02,119,59.3017246,17.9971426
Tångvägen 44,Hökmossen,3050000,56.0,0.0,3.0,4107,,1944.0,0,1,0,0,2024-05-06,16,59.292005,17.9935857
Radiusbacken 15,Midsommarkransen,8350000,116.0,0.0,5.0,6558,,1938.0,1,0,0,0,2024-05-10,14,59.29855540000001,18.004505
Responsgatan 12,Telefonplan,2695000,46.0,0.0,2.0,3135,1.0,2019.0,1,0,0,0,2024-08-14,11,59.29645899999999,18.0027115
Cedergrensvägen 47,LM-Staden,3300000,51.0,0.0,2.0,3428,1.0,1939.0,0,0,0,0,2024-03-14,13,59.30054560000001,17.9979008
Radiusbacken 39,Midsommarkransen,2700000,39.0,0.0,2.0,2990,,,1,0,0,0,2024-02-19,17,59.2981749,18.0049208
Tegelbruksvägen 7,Midsommarkransen,6000000,72.0,0.0,3.0,5070,2.0,1946.0,1,1,0,0,2024-06-08,17,59.30283069999999,18.0133449
Vattenledningsvägen 45,Midsommarkransen,2725000,38.0,0.0,1.5,3524,2.0,1939.0,0,0,0,0,2024-08-15,12,59.3026619,18.0099123
Valborgsmässovägen 20B,LM-Staden,4295000,64.0,0.0,2.0,4520,3.0,2018.0,1,0,0,0,2024-05-28,53,59.3004475,17.9999159
Bäckvägen 83,Midsommarkransen,3050000,44.0,0.0,2.0,3763,2.0,1943.0,0,1,0,0,2024-05-29,11,59.30203089999999,17.9937635
Tellusborgsvägen 90,Midsommarkransen,2695000,39.0,0.0,2.0,2874,2.0,2012.0,1,1,0,0,2024-04-11,12,59.29883299999999,18.0020192
Övre Bergsvägen 12,Gamla Midsommarkransen,4460000,65.0,0.0,2.0,2978,,1910.0,0,0,0,0,2024-01-19,8,59.30176329999999,18.0109975
Tellusborgsvägen 77,Telefonplan,3000000,44.0,0.0,2.0,2802,1.0,,1,0,1,0,2024-05-22,13,59.29792959999999,18.0022636
Tellusborgsvägen 42,Midsommarkransen,6800000,107.0,0.0,4.0,6372,1.0,2023.0,1,1,0,0,2024-02-02,63,59.3037397,18.0071393
Pingstvägen 20,LM-Staden,3395000,51.0,0.0,2.0,4232,2.0,1940.0,0,0,0,0,2024-03-08,12,59.30211209999999,17.9997734
Lm Ericssons väg 24,Telefonplan,2850000,34.0,0.0,1.5,1714,3.0,2022.0,0,0,0,0,2024-01-31,12,59.29927939999999,17.995053
Cedergrensvägen 18,LM-Staden,2675000,35.0,0.0,1.0,3206,3.0,1940.0,0,0,0,0,2024-05-10,12,59.30247250000001,18.0012642
Johannesbergsgatan 4,Midsommarkransen,2495000,32.0,0.0,1.0,3232,3.0,1936.0,0,1,0,0,2024-09-06,14,59.30046919999999,18.0111549
Responsgatan 14,Telefonplan,2500000,34.0,0.0,1.0,2417,4.0,2019.0,1,1,0,0,2024-06-19,47,59.29665749999999,18.0030007
Mobilgatan 1B,Telefonplan,3795000,55.5,0.0,2.0,4224,3.0,2022.0,1,1,0,0,2024-04-26,29,59.29754430000001,17.988501
Filvägen 11,Hökmossen,2920000,50.0,0.0,2.0,3424,2.0,1945.0,0,1,0,0,2024-06-18,18,59.29467020000001,17.9949109
Radiusbacken 23,Midsommarkransen,7500000,87.0,0.0,4.0,5084,1.0,1943.0,1,1,0,0,2024-05-14,6,59.29893010000001,18.0054637
Telefonvägen 7,Midsommarkransen,3650000,68.0,0.0,2.0,6549,4.0,1993.0,1,1,0,0,2024-06-26,42,59.300436,18.0032084
Valsbergs gränd 4,Midsommarkransen,2980000,40.0,0.0,2.0,3280,3.0,1944.0,0,1,0,0,2024-03-22,13,59.3010302,18.0099272
Svandammsvägen 8,Midsommarkransen,4000000,48.0,0.0,2.0,2329,1.0,1929.0,0,0,0,0,2024-05-23,8,59.3019785,18.014739
Tegelbruksvägen 8C,Midsommarkransen,3200000,32.0,0.0,2.0,1750,,1936.0,0,0,0,0,2024-06-14,2,59.30281830000001,18.0148654
Valborgsmässovägen 4,LM-Staden,3250000,51.0,0.0,2.0,4285,3.0,1939.0,0,0,0,0,2024-06-11,32,59.3009532,18.0015404
Tellusborgsvägen 90,Midsommarkransen,2625000,35.0,0.0,1.0,2586,3.0,2012.0,1,1,0,0,2024-02-23,18,59.29883299999999,18.0020192
Vattenledningsvägen 85,Midsommarkransen,3350000,43.0,0.0,2.0,3198,3.0,1943.0,0,1,0,0,2024-09-05,6,59.3002437,18.0064252
Tvingvägen 26,Hökmossen,2400000,36.0,0.0,2.0,2275,1.0,1942.0,0,0,0,0,2024-03-19,3,59.29390290000001,17.9987056
Tångvägen 20,Hökmossen,2550000,42.5,0.0,2.0,3175,1.0,1944.0,0,0,0,0,2024-05-05,22,59.2936676,17.9959546
Valborgsmässovägen 25,LM-Staden,3600000,51.0,0.0,2.0,4285,1.0,1938.0,0,0,0,0,2024-05-19,31,59.2993109,17.998456
